date,store,category,sales
2022-01-01,Store_A,Electronics,9036
2022-02-01,Store_A,Electronics,9874
2022-03-01,Store_A,Electronics,2629
2022-04-01,Store_A,Electronics,7158
2022-05-01,Store_A,Electronics,7346
2022-06-01,Store_A,Electronics,6235
2022-07-01,Store_A,Electronics,4910
2022-08-01,Store_A,Electronics,4811
2022-09-01,Store_A,Electronics,7228
2022-10-01,Store_A,Electronics,8422
2022-11-01,Store_A,Electronics,2012
2022-12-01,Store_A,Electronics,6628
2023-01-01,Store_A,Electronics,7158
2023-02-01,Store_A,Electronics,7466
2023-03-01,Store_A,Electronics,8264
2023-04-01,Store_A,Electronics,4732
2023-05-01,Store_A,Electronics,4899
2023-06-01,Store_A,Electronics,4974
2023-07-01,Store_A,Electronics,9256
2023-08-01,Store_A,Electronics,2317
2023-09-01,Store_A,Electronics,3385
2023-10-01,Store_A,Electronics,9331
2023-11-01,Store_A,Electronics,2469
2023-12-01,Store_A,Electronics,5317
2022-01-01,Store_A,Clothing,3847
2022-02-01,Store_A,Clothing,9680
2022-03-01,Store_A,Clothing,4499
2022-04-01,Store_A,Clothing,2625
2022-05-01,Store_A,Clothing,5275
2022-06-01,Store_A,Clothing,1675
2022-07-01,Store_A,Clothing,8119
2022-08-01,Store_A,Clothing,5680
2022-09-01,Store_A,Clothing,4126
2022-10-01,Store_A,Clothing,2704
2022-11-01,Store_A,Clothing,6105
2022-12-01,Store_A,Clothing,9363
2023-01-01,Store_A,Clothing,4735
2023-02-01,Store_A,Clothing,3326
2023-03-01,Store_A,Clothing,5976
2023-04-01,Store_A,Clothing,5078
2023-05-01,Store_A,Clothing,6806
2023-06-01,Store_A,Clothing,5689
2023-07-01,Store_A,Clothing,10154
2023-08-01,Store_A,Clothing,3987
2023-09-01,Store_A,Clothing,6559
2023-10-01,Store_A,Clothing,8453
2023-11-01,Store_A,Clothing,8320
2023-12-01,Store_A,Clothing,7077
2022-01-01,Store_A,Groceries,7533
2022-02-01,Store_A,Groceries,5252
2022-03-01,Store_A,Groceries,8442
2022-04-01,Store_A,Groceries,4782
2022-05-01,Store_A,Groceries,3303
2022-06-01,Store_A,Groceries,6309
2022-07-01,Store_A,Groceries,9512
2022-08-01,Store_A,Groceries,9127
2022-09-01,Store_A,Groceries,7475
2022-10-01,Store_A,Groceries,4477
2022-11-01,Store_A,Groceries,6090
2022-12-01,Store_A,Groceries,3607
2023-01-01,Store_A,Groceries,9513
2023-02-01,Store_A,Groceries,2659
2023-03-01,Store_A,Groceries,9595
2023-04-01,Store_A,Groceries,6580
2023-05-01,Store_A,Groceries,2716
2023-06-01,Store_A,Groceries,9274
2023-07-01,Store_A,Groceries,6360
2023-08-01,Store_A,Groceries,2023
2023-09-01,Store_A,Groceries,7770
2023-10-01,Store_A,Groceries,7832
2023-11-01,Store_A,Groceries,8394
2023-12-01,Store_A,Groceries,9207
2022-01-01,Store_B,Electronics,5212
2022-02-01,Store_B,Electronics,8896
2022-03-01,Store_B,Electronics,10037
2022-04-01,Store_B,Electronics,7137
2022-05-01,Store_B,Electronics,6450
2022-06-01,Store_B,Electronics,2664
2022-07-01,Store_B,Electronics,4236
2022-08-01,Store_B,Electronics,9865
2022-09-01,Store_B,Electronics,5158
2022-10-01,Store_B,Electronics,5533
2022-11-01,Store_B,Electronics,7896
2022-12-01,Store_B,Electronics,3492
2023-01-01,Store_B,Electronics,5687
